
time;ax;ay;az;wx;wy;wz;
0,094175;0,2439;0,3232;-0,2950;0,0270;-0,0044;0,0101;
0,194124;-0,1137;0,0717;-0,0128;0,0197;-0,0166;-0,0058;
0,294239;0,0502;-0,2067;0,1022;0,0111;0,0078;0,0052;
0,394476;-0,0374;0,0864;0,0563;0,0111;0,0005;0,0101;
0,494476;-0,0010;0,0796;0,0192;-0,0072;-0,0215;-0,0192;
0,594502;0,0483;-0,1959;0,0973;-0,0011;0,0017;0,0089;
0,695110;-0,1074;0,0336;0,0582;0,0075;0,0029;0,0101;
0,794766;0,0087;0,0961;0,1006;0,0014;0,0237;-0,0144;
0,894793;0,0201;-0,2467;0,0231;0,0038;0,0078;0,0101;
0,994882;-0,1401;-0,1608;0,1032;0,0014;0,0151;0,0260;
1,094958;0,0525;0,1338;0,0754;-0,0096;0,0078;-0,0046;
1,195688;0,0220;0,0205;0,0746;-0,0035;-0,0154;-0,0034;
1,295562;-0,1900;-0,1801;0,0548;-0,0047;0,0090;0,0101;
1,395974;0,0994;0,0700;0,0398;-0,0108;0,0115;-0,0021;
1,496210;-0,0073;0,0316;0,0499;-0,0072;-0,0142;-0,0046;
1,597102;-0,2423;-0,1879;-0,1901;-0,0157;-0,0057;0,0027;
1,697281;0,0756;-0,0085;0,0505;-0,0072;0,0127;0,0064;
1,797226;-0,0970;0,1808;0,0235;-0,0060;-0,0032;-0,0021;
1,898008;-0,0303;0,1430;0,0017;-0,0011;0,0115;0,0052;
1,997675;0,0600;-0,0759;0,1527;-0,0108;0,0249;0,0418;
2,098178;-0,2466;-0,2653;-0,3350;-0,0475;-0,0069;0,0199;
2,198808;-0,3079;-0,0489;-0,5313;-0,0206;-0,0179;0,0345;
2,299274;-0,0765;-0,1657;-1,1633;-0,0218;0,0017;-0,0205;
2,399412;-0,5100;-1,3467;-1,9755;0,0026;0,0200;0,0418;
2,499301;-0,7861;2,1483;-0,1820;0,0441;0,0322;-0,0266;
2,599417;-0,8594;0,8573;-0,7997;-0,0243;-0,0032;-0,0571;
2,699925;-0,7491;0,4007;-0,9760;-0,0841;0,0334;-0,0779;
2,800478;-0,8974;-0,3751;-1,1593;-0,0597;0,0664;-0,0278;
2,900078;-1,0828;-1,3562;-1,3781;-0,0964;0,1190;0,0223;
3,000270;-1,0128;-0,7854;-1,1095;-0,0389;0,1568;0,0162;
3,100634;-1,2349;-1,2457;-0,8239;-0,0292;0,2301;0,0553;
3,200750;-1,2320;-1,1016;-0,4883;-0,0292;0,2925;0,0565;
3,300884;-1,3245;-0,6413;-0,3845;-0,0182;0,3010;0,0528;
3,401253;-1,3635;-0,2630;-0,2674;0,0124;0,3719;0,0577;
3,501341;-1,2219;-0,0238;-0,4067;0,0136;0,3902;0,0357;
3,601640;-1,0950;-0,3008;-0,6619;-0,0060;0,3865;0,0308;
3,701665;-1,3789;-0,7704;-0,9006;-0,0011;0,4158;0,0333;
3,801855;-1,5572;0,4845;-0,3743;-0,0389;0,4757;0,0064;
3,901682;-2,6462;1,1453;1,3775;0,0551;0,6187;0,1811;
4,002373;-1,4917;-0,2245;-1,1485;-0,0060;0,5307;0,0663;
