
time;ax;ay;az;wx;wy;wz;
0,092412;0,0378;-0,0953;0,0389;-0,0852;0,0371;0,0197;
0,192100;0,0469;0,0241;0,0756;-0,0034;0,0041;-0,0011;
0,292853;-0,1346;0,3563;0,0822;0,0125;-0,0191;0,0002;
0,393052;0,0197;-0,0194;-0,0899;0,0076;0,0066;0,0124;
0,494756;-0,3764;0,0446;-0,2626;0,0186;-0,0130;-0,0121;
0,593831;-0,0426;0,4052;-0,5585;0,0052;0,0090;0,0002;
0,693981;-0,8538;0,4951;-0,9448;-0,0156;-0,0105;0,0454;
0,794447;0,2558;0,0596;-0,2855;0,0748;0,0383;-0,0414;
0,894615;-1,0956;0,9185;-0,6845;-0,0901;-0,0936;0,0075;
0,994586;0,0356;-0,5485;-0,6371;-0,0522;-0,0154;0,0295;
1,094318;1,2618;0,5461;0,5917;0,1164;0,1471;-0,1465;
1,194539;-0,7011;-0,0133;-0,0630;0,0064;-0,0032;0,0441;
1,295009;-0,2749;-0,1012;-0,1407;-0,0339;0,0066;0,0124;
1,395656;-0,3447;0,3226;0,0814;-0,0351;-0,0289;0,0246;
1,496057;0,0611;0,6437;0,2610;-0,0144;0,0139;-0,0121;
1,595945;-0,5653;-1,0957;-0,9132;-0,0608;-0,0069;0,0478;
1,696037;-0,2310;1,3616;0,8239;0,0577;0,0628;-0,0341;
1,796521;-0,9731;-0,2584;0,0662;-0,0974;0,0066;0,0307;
1,896571;-0,3028;1,7035;1,3653;0,1103;0,0982;0,0991;
1,997206;0,4785;-0,1565;-0,7488;0,0015;-0,0191;-0,0634;
2,098630;-1,0280;-0,7697;-0,8505;-0,0425;0,0005;0,1016;
2,197792;-0,2823;1,3094;1,3545;0,0663;0,1226;0,0417;
2,298203;0,1192;-1,1600;-1,7962;-0,0681;0,0053;-0,0805;
2,398316;-0,2886;-0,7000;-1,1680;-0,0205;0,0188;-0,0707;
2,498769;-0,4134;0,5723;-0,9591;-0,0107;0,0176;-0,0499;
