
time;ax;ay;az;wx;wy;wz;
0,094615;0,3620;0,3001;0,5279;-0,0727;-0,0209;-0,0110;
0,193793;0,0580;-0,2479;0,0166;-0,0825;-0,1419;-0,0354;
0,294877;-0,9207;-0,4087;-0,3502;-0,0678;-0,0698;-0,1173;
0,394803;0,8607;0,2315;0,9116;0,0348;0,0096;-0,0953;
0,494566;-0,5780;-1,4173;-0,9973;-0,0825;-0,1651;-0,0330;
0,595384;-0,5729;0,3358;1,0963;-0,0922;-0,1541;-0,0305;
0,695509;0,5733;-0,9840;0,6707;-0,0312;-0,0405;0,0098;
0,796000;0,6300;-0,3707;-0,4929;-0,0507;-0,0759;-0,1063;
0,895889;-0,2734;0,1253;0,8055;0,0421;-0,0747;0,0354;
0,996790;0,3580;0,1829;0,1420;-0,0531;-0,1199;-0,0134;
1,096109;0,3123;-0,4960;0,6906;-0,0266;-0,0638;-0,0232;
1,196165;-0,3995;-0,8832;-0,1445;-0,0693;-0,1200;-0,0831;
1,296338;0,4751;0,1620;0,5666;0,0516;-0,0797;-0,0757;
1,397091;-0,4880;-0,3546;0,6607;0,0064;-0,0565;-0,0379;
1,497172;0,0071;0,0498;0,3667;-0,0034;-0,0480;-0,0574;
1,597535;-0,2499;0,5373;0,9079;0,0174;-0,0321;-0,0562;
1,698296;-0,6609;0,2569;1,4013;-0,0046;0,0107;0,0257;
1,798357;-1,2849;-0,3972;2,3568;0,0223;0,0535;0,0929;
1,898726;-0,4915;0,3654;0,8761;0,0003;-0,0296;0,0244;
1,999115;-0,2304;0,2361;0,4655;0,0260;0,0644;0,0562;
2,099885;-0,0787;-2,0739;0,2025;0,0284;0,0119;-0,0195;
2,199756;-0,1209;0,8129;2,1343;0,1017;0,0632;-0,0134;
2,299929;-1,0447;-0,0442;1,6774;0,0211;0,0131;0,0782;
2,399583;-1,5970;-0,3869;1,7277;0,0199;0,0437;0,1051;
2,499942;-0,6479;0,0715;0,9968;-0,0388;0,0571;0,0489;
2,600288;-1,2180;-0,5185;1,2005;0,0357;0,1048;0,0733;
2,700391;-1,7653;-0,3647;0,9264;0,0076;0,0571;0,1368;
2,800127;-0,8999;0,3578;0,9496;0,0235;0,1268;0,0305;
2,900687;-0,5240;0,6469;1,9533;0,0260;0,1842;0,0110;
3,000897;-1,4987;-1,0221;0,6143;0,0052;0,1011;0,0428;
3,101456;-0,6319;0,7769;2,6540;0,1139;0,2404;0,0452;
3,201722;-1,3752;0,9098;2,2415;0,0712;0,2440;0,1026;
3,301812;-1,8324;0,0707;1,3280;0,0357;0,1646;0,1112;
3,402185;-0,8966;-0,2485;1,0717;0,0101;0,2538;0,0489;
3,502050;-1,7516;-0,6850;1,7483;0,0541;0,2440;0,1087;
3,602803;-1,8417;-0,9844;1,6408;0,1029;0,2758;0,1393;
3,703606;-1,9981;-0,6165;1,4305;0,0980;0,2917;0,1381;
3,803565;-1,7493;0,4219;2,8856;-0,0070;0,3430;0,2004;
3,904491;-1,3211;-0,4653;1,2714;0,0137;0,2611;0,1185;
4,004561;-1,3754;1,2795;4,2422;0,0443;0,4566;0,1613;
4,104700;-2,3232;-1,8135;0,6288;-0,0046;0,3210;0,0929;
4,204913;-0,8342;-0,4279;1,8010;0,1200;0,3564;0,0990;
4,305302;-2,1421;-1,2434;0,3425;-0,1707;0,3247;0,2053;
4,405269;0,4870;-0,8900;1,9150;0,0712;0,2905;0,0770;
4,505404;-1,2991;-0,1984;2,3364;0,1323;0,4798;0,1625;
4,605613;-1,8609;-0,7909;1,1202;0,0406;0,3564;0,0305;
4,705780;-2,8777;-1,8043;-2,3374;-0,0522;0,2489;0,0403;
4,806449;-2,3913;-1,4932;1,8303;0,0687;0,3589;0,2175;
4,906197;-0,1061;-0,0416;3,1994;0,0089;0,4322;0,1026;
5,006678;-3,5254;-2,1146;-0,5318;-0,1500;0,3149;0,2724;
5,107199;-1,0787;1,7427;2,0253;-0,0095;0,3772;0,1857;
5,207172;-1,2095;-0,0014;1,1340;0,0699;0,2941;0,1026;
5,307392;-1,6525;-0,6796;1,2074;0,0834;0,3406;0,1759;
5,407158;-1,0391;0,7258;2,8263;0,0712;0,4554;0,2175;
5,507747;-1,9542;-0,2407;2,0033;0,0052;0,4102;0,2309;
5,607941;-1,2956;-1,8876;-0,6991;-0,0583;0,3039;0,1124;
5,708219;-0,9141;-0,3773;0,3364;0,0235;0,4530;0,1197;
5,808422;-1,6555;-1,8238;0,0930;-0,0327;0,3797;0,2187;
5,908461;-0,7134;0,2005;1,4129;0,0504;0,3833;0,1356;
6,008629;-1,0604;0,0369;1,9165;0,0199;0,3540;0,1100;
6,108884;-0,6182;0,1997;2,6090;0,0687;0,3809;0,1576;
6,208939;-0,7100;-1,6349;2,1895;0,0321;0,4224;0,1674;
6,309635;-0,6335;-0,1041;1,6498;0,0431;0,3858;0,1466;
6,409692;0,0535;-0,4090;1,6483;0,0528;0,4041;0,1417;
6,509937;-1,1722;-0,9279;1,2223;0,0687;0,3112;0,1723;
6,610098;-0,5920;-1,5866;1,0147;0,0199;0,3125;0,1613;
6,710174;-0,9040;-0,7290;1,4891;0,0602;0,3528;0,2211;
6,810213;-0,7347;-0,1272;2,4878;0,0528;0,3906;0,1710;
6,910275;-0,1084;-0,6317;1,6355;0,0223;0,3577;0,1161;
7,010485;-0,3356;-0,2955;2,1107;0,0883;0,3381;0,1148;
7,110725;-0,1700;0,8400;3,0663;0,0858;0,3222;0,1466;
7,211091;0,0112;-0,1863;2,7053;0,0174;0,3894;0,1234;
7,311055;-0,0863;-2,3326;-0,5345;-0,0669;0,3638;0,0489;
7,411317;-0,5510;-0,4804;2,8464;0,0443;0,3613;0,0977;
7,511499;-0,7606;-0,9575;2,4902;0,1078;0,3894;0,1796;
7,611667;-0,4998;-0,9301;1,5664;-0,0131;0,3296;0,1112;
7,712236;0,1415;-0,4945;2,7341;0,0528;0,4322;0,1478;
7,811778;-1,0072;-1,3578;1,5406;0,0748;0,3699;0,1527;
7,912541;-0,7161;0,0124;2,4641;0,0699;0,3650;0,1246;
8,013154;-0,9133;-0,4899;2,6280;0,0577;0,3797;0,1833;
8,113666;-1,5570;-1,2794;1,3405;0,0284;0,3882;0,1906;
8,213783;-0,8363;0,5809;2,8508;0,1151;0,3845;0,1002;
8,313637;-0,0357;-1,2326;1,2217;0,0235;0,3674;0,0684;
8,413903;-0,6954;-0,0226;2,6444;0,0968;0,3919;0,0916;
8,514204;-1,0410;-0,4076;2,8196;0,0308;0,4163;0,2004;
8,614312;-1,5043;-0,7823;2,7257;-0,0767;0,3454;0,2285;
8,714226;-0,7457;0,1559;2,5828;0,0223;0,4187;0,0819;
8,814716;-0,6798;-0,8458;1,8211;-0,0302;0,3625;0,1625;
8,915019;-0,5725;1,0277;2,8791;0,0308;0,4297;0,1283;
9,015014;-1,2113;-0,5752;2,5353;-0,0180;0,3797;0,1784;
9,115114;-1,1442;-0,7410;3,2674;0,0736;0,4493;0,1784;
9,215401;-1,4513;-0,4908;2,9788;0,0565;0,3992;0,2138;
9,315522;-1,8448;-1,3347;2,9072;0,0284;0,3784;0,2016;
9,415540;-1,7078;-1,1979;2,3177;-0,0254;0,3528;0,2028;
9,517123;-1,3002;-0,5660;2,2354;0,0492;0,4334;0,1808;
9,616046;-0,2571;-1,1491;2,3957;-0,0254;0,3235;0,0855;
9,716476;-1,0806;-0,1967;2,3588;0,0394;0,4261;0,1478;
9,817052;-1,0860;-1,6551;1,8339;0,0101;0,3381;0,1051;
9,916889;0,2229;0,9135;3,3628;0,0895;0,4725;0,1271;
10,017136;-1,2928;-1,1767;2,0393;0,0467;0,4090;0,1686;
10,117176;-1,4862;-0,7368;3,7470;0,0052;0,3125;0,1723;
10,217163;-0,4879;0,7858;3,4730;0,1090;0,4053;0,2004;
10,317637;-0,7912;-1,0607;2,4380;0,0651;0,3149;0,1442;
10,417990;-0,9184;-0,6911;3,1541;0,0199;0,4273;0,1564;
10,517807;-0,8662;-0,2759;3,0303;0,0907;0,3992;0,1344;
10,618038;-1,2335;-1,2015;1,9642;0,0333;0,3723;0,1637;
10,718298;-1,5431;-0,6190;2,7510;0,0541;0,3906;0,0745;
10,818348;-0,7553;0,6627;3,7230;0,0663;0,4078;0,1087;
10,918561;-2,4093;-1,4356;2,5582;0,0418;0,3919;0,2004;
11,019073;-1,4436;-1,5643;2,7541;0,0797;0,5177;0,1735;
11,119292;-1,4541;-1,7285;2,6815;0,0638;0,3992;0,1466;
11,221707;-1,7632;-1,1849;2,6000;0,0492;0,3589;0,1600;
11,319895;-1,4332;-1,5055;2,3141;0,0724;0,4688;0,1735;
11,422255;-2,6157;-2,5489;2,3126;0,0101;0,3919;0,2126;
11,522925;-0,8020;0,3173;4,1117;0,0504;0,4921;0,1576;
11,622570;-1,8682;-1,1655;3,2152;0,0553;0,4261;0,2224;
11,723855;-2,2565;-1,8840;2,4738;0,0125;0,2905;0,1698;
11,823738;-1,8351;-0,8921;2,8516;-0,0058;0,3723;0,1185;
11,925167;-1,1827;-1,7360;2,7862;-0,0693;0,3821;0,1283;
12,024353;-2,7003;-2,6823;2,2266;0,0431;0,4285;0,2150;
12,124554;-1,4651;-0,8067;3,2373;-0,0412;0,4224;0,1625;
12,225089;-1,0396;0,2214;4,0104;0,0809;0,4346;0,1662;
12,324787;-0,7194;-0,6629;3,0890;0,0565;0,4102;0,1381;
12,425213;-1,6047;-2,0844;2,1715;0,0809;0,3271;0,2162;
12,525637;-1,2744;-0,8831;2,3655;0,0199;0,2746;0,0916;
12,625802;-0,9743;-1,4986;1,3986;0,0027;0,3161;0,1723;
12,725921;-0,5811;-0,8997;2,7327;0,1115;0,3797;0,1014;
